8 1 10
0 0 0 DIRT
0 0 1 DIRT
0 0 2 DIRT
0 0 3 DIRT
0 0 4 DIRT
0 0 5 DIRT
0 0 6 DIRT
0 0 7 DIRT
0 0 8 DIRT
0 0 9 DIRT
0 0 10 DIRT
0 0 11 DIRT
0 0 12 DIRT
0 0 13 DIRT
0 0 14 DIRT
0 0 15 DIRT
1 0 0 DIRT
1 0 1 DIRT
1 0 2 DIRT
1 0 3 DIRT
1 0 4 DIRT
1 0 5 DIRT
1 0 6 DIRT
1 0 7 DIRT
1 0 8 DIRT
1 0 9 DIRT
1 0 10 DIRT
1 0 11 DIRT
1 0 12 DIRT
1 0 13 DIRT
1 0 14 DIRT
1 0 15 DIRT
2 0 0 DIRT
2 0 1 DIRT
2 0 2 DIRT
2 0 3 DIRT
2 0 4 DIRT
2 0 5 DIRT
2 0 6 DIRT
2 0 7 DIRT
2 0 8 DIRT
2 0 9 DIRT
2 0 10 DIRT
2 0 11 DIRT
2 0 12 DIRT
2 0 13 DIRT
2 0 14 DIRT
2 0 15 DIRT
3 0 0 DIRT
3 0 1 DIRT
3 0 2 DIRT
3 0 3 DIRT
3 0 4 DIRT
3 0 5 DIRT
3 0 6 DIRT
3 0 7 DIRT
3 0 8 DIRT
3 0 9 DIRT
3 0 10 DIRT
3 0 11 DIRT
3 0 12 DIRT
3 0 13 DIRT
3 0 14 DIRT
3 0 15 DIRT
4 0 0 DIRT
4 0 1 DIRT
4 0 2 DIRT
4 0 3 DIRT
4 0 4 DIRT
4 0 5 DIRT
4 0 6 DIRT
4 0 7 DIRT
4 0 8 DIRT
4 0 9 DIRT
4 0 10 DIRT
4 0 11 DIRT
4 0 12 DIRT
4 0 13 DIRT
4 0 14 DIRT
4 0 15 DIRT
5 0 0 DIRT
5 0 1 DIRT
5 0 2 DIRT
5 0 3 DIRT
5 0 4 DIRT
5 0 5 DIRT
5 0 6 DIRT
5 0 7 DIRT
5 0 8 DIRT
5 0 9 DIRT
5 0 10 DIRT
5 0 11 DIRT
5 0 12 DIRT
5 0 13 DIRT
5 0 14 DIRT
5 0 15 DIRT
6 0 0 DIRT
6 0 1 DIRT
6 0 2 DIRT
6 0 3 DIRT
6 0 4 DIRT
6 0 5 DIRT
6 0 6 DIRT
6 0 7 DIRT
6 0 8 DIRT
6 0 9 DIRT
6 0 10 DIRT
6 0 11 DIRT
6 0 12 DIRT
6 0 13 DIRT
6 0 14 DIRT
6 0 15 DIRT
7 0 0 DIRT
7 0 1 DIRT
7 0 2 DIRT
7 0 3 DIRT
7 0 4 DIRT
7 0 5 DIRT
7 0 6 DIRT
7 0 7 DIRT
7 0 8 DIRT
7 0 9 DIRT
7 0 10 DIRT
7 0 11 DIRT
7 0 12 DIRT
7 0 13 DIRT
7 0 14 DIRT
7 0 15 DIRT
7 1 7 STONE
7 1 8 STONE
7 1 9 STONE
8 0 0 DIRT
8 0 1 DIRT
8 0 2 DIRT
8 0 3 DIRT
8 0 4 DIRT
8 0 5 DIRT
8 0 6 DIRT
8 0 7 DIRT
8 0 8 DIRT
8 0 9 DIRT
8 0 10 DIRT
8 0 11 DIRT
8 0 12 DIRT
8 0 13 DIRT
8 0 14 DIRT
8 0 15 DIRT
8 1 7 STONE
8 1 8 STONE
8 1 9 STONE
9 0 0 DIRT
9 0 1 DIRT
9 0 2 DIRT
9 0 3 DIRT
9 0 4 DIRT
9 0 5 DIRT
9 0 6 DIRT
9 0 7 DIRT
9 0 8 DIRT
9 0 9 DIRT
9 0 10 DIRT
9 0 11 DIRT
9 0 12 DIRT
9 0 13 DIRT
9 0 14 DIRT
9 0 15 DIRT
9 1 7 STONE
9 1 8 STONE
9 1 9 STONE
10 0 0 DIRT
10 0 1 DIRT
10 0 2 DIRT
10 0 3 DIRT
10 0 4 DIRT
10 0 5 DIRT
10 0 6 DIRT
10 0 7 DIRT
10 0 8 DIRT
10 0 9 DIRT
10 0 10 DIRT
10 0 11 DIRT
10 0 12 DIRT
10 0 13 DIRT
10 0 14 DIRT
10 0 15 DIRT
11 0 0 DIRT
11 0 1 DIRT
11 0 2 DIRT
11 0 3 DIRT
11 0 4 DIRT
11 0 5 DIRT
11 0 6 DIRT
11 0 7 DIRT
11 0 8 DIRT
11 0 9 DIRT
11 0 10 DIRT
11 0 11 DIRT
11 0 12 DIRT
11 0 13 DIRT
11 0 14 DIRT
11 0 15 DIRT
12 0 0 DIRT
12 0 1 DIRT
12 0 2 DIRT
12 0 3 DIRT
12 0 4 DIRT
12 0 5 DIRT
12 0 6 DIRT
12 0 7 DIRT
12 0 8 DIRT
12 0 9 DIRT
12 0 10 DIRT
12 0 11 DIRT
12 0 12 DIRT
12 0 13 DIRT
12 0 14 DIRT
12 0 15 DIRT
13 0 0 DIRT
13 0 1 DIRT
13 0 2 DIRT
13 0 3 DIRT
13 0 4 DIRT
13 0 5 DIRT
13 0 6 DIRT
13 0 7 DIRT
13 0 8 DIRT
13 0 9 DIRT
13 0 10 DIRT
13 0 11 DIRT
13 0 12 DIRT
13 0 13 DIRT
13 0 14 DIRT
13 0 15 DIRT
14 0 0 DIRT
14 0 1 DIRT
14 0 2 DIRT
14 0 3 DIRT
14 0 4 DIRT
14 0 5 DIRT
14 0 6 DIRT
14 0 7 DIRT
14 0 8 DIRT
14 0 9 DIRT
14 0 10 DIRT
14 0 11 DIRT
14 0 12 DIRT
14 0 13 DIRT
14 0 14 DIRT
14 0 15 DIRT
15 0 0 DIRT
15 0 1 DIRT
15 0 2 DIRT
15 0 3 DIRT
15 0 4 DIRT
15 0 5 DIRT
15 0 6 DIRT
15 0 7 DIRT
15 0 8 DIRT
15 0 9 DIRT
15 0 10 DIRT
15 0 11 DIRT
15 0 12 DIRT
15 0 13 DIRT
15 0 14 DIRT
15 0 15 DIRT
